"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1901,-27,-25.3999996185303,-13.8000001907349,-8.19999980926514,2.79999995231628,10.5,12.1000003814697,8.80000019073486,4.09999990463257,-6.20000028610229,-18.3000011444092,-21.3999996185303
"2",1902,-23.8000011444092,-19.1000003814697,-21.5,-7.70000028610229,3.70000004768372,11.3000001907349,13,9.5,3.10000014305115,-6.09999990463257,-21,-29.7000007629395
"3",1903,-29.1000003814697,-21.8000011444092,-16.8999996185303,-8.80000019073486,2.90000009536743,10.9000005722046,11.6999998092651,10.1000003814697,3.20000004768372,-9.90000057220459,-21.3000011444092,-18.8000011444092
"4",1904,-28,-28.6000003814697,-19.7000007629395,-4.30000019073486,4.09999990463257,10.8000001907349,13,7.70000028610229,1.30000007152557,-7.70000028610229,-19.3999996185303,-19.8999996185303
"5",1905,-23.6000003814697,-17.2000007629395,-12,-2.90000009536743,5.40000009536743,11.3000001907349,11.8000001907349,9.30000019073486,1.10000002384186,-8.40000057220459,-13.6000003814697,-24.3000011444092
"6",1906,-35,-19.8000011444092,-12.6000003814697,-6.30000019073486,4.40000009536743,11,11.8000001907349,8.90000057220459,3.70000004768372,-5.70000028610229,-18.8000011444092,-27.8000011444092
"7",1907,-24.6000003814697,-29.7000007629395,-18.8000011444092,-4.70000028610229,5.70000028610229,9.90000057220459,11.6000003814697,9.90000057220459,3.5,-8.60000038146973,-19.1000003814697,-21.3999996185303
"8",1908,-23.3999996185303,-20.6000003814697,-17.3999996185303,-6.40000009536743,4.80000019073486,11,12.4000005722046,8.69999980926514,1.10000002384186,-10.6999998092651,-17.8999996185303,-19.8000011444092
"9",1909,-33.5,-26.7000007629395,-16,-8.80000019073486,4,10,12.5,8.80000019073486,1.39999997615814,-9.5,-23.3000011444092,-24.8999996185303
"10",1910,-27,-26,-16.5,-8.19999980926514,4.09999990463257,9.80000019073486,11.6000003814697,8.19999980926514,4.20000028610229,-8.19999980926514,-18.5,-25.8999996185303
"11",1911,-31.3000011444092,-18.3999996185303,-18.3000011444092,-9.10000038146973,3.60000014305115,10.3000001907349,12.4000005722046,9.30000019073486,4.20000028610229,-3.90000009536743,-20.1000003814697,-22.6000003814697
"12",1912,-21.5,-15.6999998092651,-11.5,-3.60000014305115,5.80000019073486,8.40000057220459,11.5,8.69999980926514,3.70000004768372,-5.90000009536743,-17,-23.6000003814697
"13",1913,-31.2000007629395,-17.5,-15.1000003814697,-6,4.40000009536743,11.8000001907349,11.6000003814697,8.10000038146973,2,-8.90000057220459,-17.8000011444092,-22.6000003814697
"14",1914,-25.8999996185303,-17.7000007629395,-15.8000001907349,-6.20000028610229,4.70000028610229,11.3000001907349,12.1999998092651,10.1000003814697,1.80000007152557,-4,-16.7000007629395,-16.7000007629395
"15",1915,-19.2000007629395,-22.3999996185303,-11.1999998092651,-1.70000004768372,6.20000028610229,12.3000001907349,14.1000003814697,9.90000057220459,4.40000009536743,-10.6999998092651,-17.2000007629395,-22.5
"16",1916,-25.7000007629395,-23.5,-20.5,-3.29999995231628,3.79999995231628,10.5,11.8000001907349,9.40000057220459,3.90000009536743,-5.20000028610229,-18,-26.8999996185303
"17",1917,-28.8000011444092,-19.5,-14.1000003814697,-5.30000019073486,3.29999995231628,9.40000057220459,10.6000003814697,10.1999998092651,4,-7.59999990463257,-23.3000011444092,-31.8999996185303
"18",1918,-24.3999996185303,-23.5,-21.2000007629395,-7.90000009536743,2.10000014305115,9,13,8.60000038146973,5.20000028610229,-7.70000028610229,-19.3999996185303,-23.8000011444092
"19",1919,-26.3999996185303,-20.2000007629395,-18.3999996185303,-4.80000019073486,4,8.40000057220459,12.5,10,4.20000028610229,-7.90000009536743,-20.5,-24.3000011444092
"20",1920,-29.2000007629395,-15.3000001907349,-19.5,-9.60000038146973,1.39999997615814,9.80000019073486,11.1000003814697,8.5,2.5,-9.69999980926514,-17.2000007629395,-23.3000011444092
"21",1921,-29.1000003814697,-23.8999996185303,-15.5,-6.20000028610229,3.20000004768372,10.9000005722046,12,10.4000005722046,2,-7.30000019073486,-18.6000003814697,-20.7000007629395
"22",1922,-21.3000011444092,-22.6000003814697,-19.6000003814697,-5.80000019073486,1.89999997615814,8.90000057220459,10.4000005722046,8.30000019073486,1.80000007152557,-4.90000009536743,-17.3999996185303,-23.2000007629395
"23",1923,-27.3999996185303,-17.8999996185303,-17.6000003814697,-5.40000009536743,4.20000028610229,10.6999998092651,13.1000003814697,12.1000003814697,3.79999995231628,-2.5,-14.1999998092651,-27.3000011444092
"24",1924,-23.2000007629395,-22.8000011444092,-10.9000005722046,-11.9000005722046,4,10,10.5,8.69999980926514,2.5,-10.3000001907349,-15.3000001907349,-26.2000007629395
"25",1925,-33.1000022888184,-27.7000007629395,-17,-6.09999990463257,4.80000019073486,10.1999998092651,11.3000001907349,9.69999980926514,4.70000028610229,-3.5,-14.3000001907349,-21.8000011444092
"26",1926,-13.5,-21,-9.60000038146973,-3,5,11.5,12.1000003814697,9.90000057220459,5,-4.80000019073486,-13.9000005722046,-24.3000011444092
"27",1927,-24.3000011444092,-19.8999996185303,-17,-10.1999998092651,3.90000009536743,11,13.1000003814697,9.60000038146973,2.10000014305115,-9.5,-24.3000011444092,-26.5
